third_party_domain,tracker_entity,tracker_category,consent_mode,requests,sites_present,resource_types
protechts.net,,,accept,7,1,"document,script,xhr"
protechts.net,,,reject,7,1,"document,script,xhr"
yottlyscript.com,,,accept,7,1,"script,xhr"
awswaf.com,,,reject,6,1,"script,fetch"
cdn-fileserver.com,,,accept,6,1,"image,font,script"
cdn-fileserver.com,,,ignore,6,1,"image,font,script"
cdn-fileserver.com,,,reject,6,1,"image,font,script"
convertexperiments.com,,,accept,6,1,"script,ping"
convertexperiments.com,,,ignore,6,1,"script,ping"
convertexperiments.com,,,reject,6,1,"script,ping"
croapp.cz,,,accept,6,1,"stylesheet,script"
croapp.cz,,,ignore,6,1,"stylesheet,script"
croapp.cz,,,reject,6,1,"stylesheet,script"
googlevideo.com,Google,cdn,accept,6,1,fetch
googlevideo.com,Google,cdn,reject,6,1,fetch
persoo.cz,,,accept,6,1,script
persoo.cz,,,ignore,6,1,script
prodregistryv2.org,,,accept,6,1,fetch
prodregistryv2.org,,,ignore,6,1,fetch
prodregistryv2.org,,,reject,6,1,fetch
recombee.com,,,reject,6,1,fetch
screechingstove.com,,,accept,6,1,"script,fetch"
screechingstove.com,,,ignore,6,1,"script,fetch"
screechingstove.com,,,reject,6,1,"script,fetch"
smartform.cz,,,accept,6,1,"script,stylesheet"
smartform.cz,,,ignore,6,1,"script,stylesheet"
smartform.cz,,,reject,6,1,"script,stylesheet"
termsfeed.com,,,accept,6,1,script
termsfeed.com,,,ignore,6,1,script
termsfeed.com,,,reject,6,1,script
trustcommander.net,,,reject,6,1,"script,ping"
vshosting.cloud,,,accept,6,1,image
vshosting.cloud,,,ignore,6,1,image
vshosting.cloud,,,reject,6,1,image
adsrvr.org,The Trade Desk,advertising,accept,5,1,"script,document,xhr"
protechts.net,,,ignore,5,1,"document,script,xhr"
recombee.com,,,accept,5,1,fetch
360yield.com,,,accept,4,1,"document,xhr"
360yield.com,,,reject,4,1,"document,xhr"
allegro.pl,,,accept,4,1,xhr
ampproject.org,,,accept,4,1,script
burdadigital.cz,,,accept,4,1,"stylesheet,script"
burdadigital.cz,,,ignore,4,1,"stylesheet,script"
burdadigital.cz,,,reject,4,1,"stylesheet,script"
clickonometrics.pl,,,accept,4,1,"script,document"
clickonometrics.pl,,,ignore,4,1,"script,document"
digicert.com,,,accept,4,1,"script,image"
digicert.com,,,ignore,4,1,"script,image"
educdn.cz,,,accept,4,1,image
educdn.cz,,,ignore,4,1,image
educdn.cz,,,reject,4,1,image
im.cz,Seznam.cz,advertising,reject,4,1,"document,script"
metricool.com,,,accept,4,1,"script,image"
nr-data.net,New Relic,analytics,accept,4,1,xhr
persoo.ai,,,accept,4,1,script
persoo.ai,,,ignore,4,1,script
persoo.ai,,,reject,4,1,script
predu.sk,,,reject,4,1,"script,stylesheet,image"
recombee.com,,,ignore,4,1,fetch
richaudience.com,,,accept,4,1,"xhr,document"
smartlook.com,,,ignore,4,1,script
smartlook.com,,,reject,4,1,script
trustcommander.net,,,accept,4,1,"script,ping"
trustcommander.net,,,ignore,4,1,"script,ping"
varify.io,,,accept,4,1,"script,fetch"
varify.io,,,ignore,4,1,"script,fetch"
varify.io,,,reject,4,1,"script,fetch"
zoe-ai.eu,,,accept,4,1,ping
zoe-ai.eu,,,ignore,4,1,ping
zoe-ai.eu,,,reject,4,1,ping
adsafeprotected.com,,,accept,3,1,"image,script"
allegro.pl,,,reject,3,1,xhr
azure.com,,,ignore,3,1,"script,fetch,xhr"
azure.com,,,reject,3,1,"script,fetch,xhr"
clickonometrics.pl,,,reject,3,1,"script,document"
cookiehub.net,,,accept,3,1,"stylesheet,xhr"
cookiehub.net,,,reject,3,1,"stylesheet,xhr"
extralife.cz,,,accept,3,1,image
extralife.cz,,,ignore,3,1,image
extralife.cz,,,reject,3,1,image
newrelic.com,New Relic,analytics,accept,3,1,script
palibzh.tech,,,accept,3,1,script
palibzh.tech,,,ignore,3,1,script
palibzh.tech,,,reject,3,1,script
protagcdn.com,,,accept,3,1,"script,xhr"
protagcdn.com,,,ignore,3,1,"script,xhr"
protagcdn.com,,,reject,3,1,"script,xhr"
tiqcdn.com,,,accept,3,1,script
tiqcdn.com,,,reject,3,1,script
11am.cz,,,accept,2,1,fetch
adnami.io,,,accept,2,1,script
adnami.io,,,ignore,2,1,script
adnami.io,,,reject,2,1,script
adsafeprotected.com,,,reject,2,1,image
allegro.cz,,,accept,2,1,document
allegro.cz,,,ignore,2,1,document
allegro.cz,,,reject,2,1,document
allegro.pl,,,ignore,2,1,xhr
ampproject.org,,,ignore,2,1,script
ampproject.org,,,reject,2,1,script
bidr.io,,,reject,2,1,image
blob:https://challenges.cloudflare.com/09644959-94e2-42b1-bf26-7680f59d4269,,,reject,2,1,script
blob:https://challenges.cloudflare.com/23273f04-5fe8-4771-bd16-f2da71809edb,,,reject,2,1,script
blob:https://challenges.cloudflare.com/304b7a4f-902e-4d10-bf2b-08fda2d65ba9,,,accept,2,1,script
blob:https://challenges.cloudflare.com/43e61897-88d9-4bab-b9f5-65c5d44e1748,,,reject,2,1,script
blob:https://challenges.cloudflare.com/584bd134-2eba-4891-8094-425749db8bb7,,,accept,2,1,script
blob:https://challenges.cloudflare.com/58cd0714-36d1-415e-ab63-af8744a9929a,,,ignore,2,1,script
blob:https://challenges.cloudflare.com/5aea90b2-e44a-4aff-b507-404aef0929ce,,,ignore,2,1,script
blob:https://challenges.cloudflare.com/615ffba5-8a7e-48c7-a2aa-4d152b288e5e,,,accept,2,1,script
blob:https://challenges.cloudflare.com/6888585b-e08f-4c37-a8d5-3aaa225ab9de,,,accept,2,1,script
blob:https://challenges.cloudflare.com/6aa28297-db7f-4883-8abc-b9a5d43fdc8d,,,reject,2,1,script
blob:https://challenges.cloudflare.com/70dbbd6d-5b73-4d0c-852b-2976ed55ddcd,,,reject,2,1,script
blob:https://challenges.cloudflare.com/878140c8-caba-4c30-afe6-73ec3fd7b684,,,reject,2,1,script
blob:https://challenges.cloudflare.com/8e8126be-f2d9-47f4-b8cc-5a038b6deedf,,,accept,2,1,script
blob:https://challenges.cloudflare.com/96e6ec6e-a690-4443-b400-e96252805897,,,ignore,2,1,script
blob:https://challenges.cloudflare.com/a133f4b0-ed50-4eb1-b2c5-5bb5cee47580,,,accept,2,1,script
blob:https://challenges.cloudflare.com/d09a95ec-f22e-4db5-859f-b9d9ab89f5fb,,,ignore,2,1,script
blob:https://challenges.cloudflare.com/d64c7198-6564-478b-b35a-0695334f1355,,,ignore,2,1,script
blob:https://challenges.cloudflare.com/e57f1aa1-0267-49d6-8269-b700aeed7ebe,,,reject,2,1,script
blob:https://challenges.cloudflare.com/ed9d9093-7303-402f-ab2f-2350d0987391,,,ignore,2,1,script
cloudfunctions.net,,,accept,2,1,fetch
cloudfunctions.net,,,ignore,2,1,fetch
cloudfunctions.net,,,reject,2,1,fetch
commander1.com,,,accept,2,1,ping
cookiehub.eu,,,accept,2,1,script
cookiehub.eu,,,ignore,2,1,script
cookiehub.eu,,,reject,2,1,script
cookiehub.net,,,ignore,2,1,stylesheet
digicert.com,,,reject,2,1,"script,image"
dopc.cz,,,accept,2,1,xhr
dopc.cz,,,ignore,2,1,xhr
dopc.cz,,,reject,2,1,xhr
evgnet.com,,,accept,2,1,script
evgnet.com,,,ignore,2,1,script
evgnet.com,,,reject,2,1,script
facebook.com,Meta,social,accept,2,1,xhr
facebook.com,Meta,social,ignore,2,1,xhr
facebook.com,Meta,social,reject,2,1,xhr
favicdn.net,,,accept,2,1,script
favicdn.net,,,ignore,2,1,script
favicdn.net,,,reject,2,1,script
getsitectrl.com,,,accept,2,1,fetch
getsitectrl.com,,,ignore,2,1,fetch
getsitectrl.com,,,reject,2,1,fetch
googletagservices.com,Google,advertising,ignore,2,1,script
growthbook.io,,,accept,2,1,fetch
growthbook.io,,,ignore,2,1,fetch
growthbook.io,,,reject,2,1,fetch
instagram.com,Meta,social,accept,2,1,script
instagram.com,Meta,social,ignore,2,1,script
instagram.com,Meta,social,reject,2,1,script
meiro.app,,,accept,2,1,fetch
metricool.com,,,ignore,2,1,"script,image"
metricool.com,,,reject,2,1,"script,image"
nakit.cloud,,,accept,2,1,script
nakit.cloud,,,ignore,2,1,script
nakit.cloud,,,reject,2,1,script
ngastatic.com,,,accept,2,1,script
ngastatic.com,,,ignore,2,1,script
ngastatic.com,,,reject,2,1,script
nr-data.net,New Relic,analytics,ignore,2,1,xhr
oskarta.cz,,,accept,2,1,script
oskarta.cz,,,ignore,2,1,script
oskarta.cz,,,reject,2,1,script
pghub.io,,,reject,2,1,"script,document"
pilulka.tech,,,accept,2,1,script
pilulka.tech,,,ignore,2,1,script
pilulka.tech,,,reject,2,1,script
playstream.media,,,ignore,2,1,"script,fetch"
rozhlas.cz,,,accept,2,1,media
rozhlas.cz,,,ignore,2,1,media
rozhlas.cz,,,reject,2,1,media
sentry.io,Sentry,analytics,accept,2,1,fetch
skippay.cz,,,accept,2,1,script
skippay.cz,,,ignore,2,1,script
skippay.cz,,,reject,2,1,script
src:https://cdn.siteone.io/airbank.cz/_next/static/media/underline.860be9f2.svg;height:7px;width:117px;blur-width:0;blur-height:0;,,,ignore,2,1,image
strossle.com,,,accept,2,1,script
strossle.com,,,ignore,2,1,script
strossle.com,,,reject,2,1,script
visualwebsiteoptimizer.com,,,accept,2,1,"script,image"
visualwebsiteoptimizer.com,,,ignore,2,1,"script,image"
visualwebsiteoptimizer.com,,,reject,2,1,"script,image"
vlmedia.cz,,,ignore,2,1,document
vlmedia.cz,,,reject,2,1,document
vlp.cz,,,accept,2,1,script
vlp.cz,,,ignore,2,1,script
vlp.cz,,,reject,2,1,script
workers.dev,,,accept,2,1,fetch
11am.cz,,,ignore,1,1,fetch
11am.cz,,,reject,1,1,fetch
ads-twitter.com,,,ignore,1,1,script
ads-twitter.com,,,reject,1,1,script
affiliateport.eu,,,accept,1,1,script
ahrefs.com,,,accept,1,1,script
ahrefs.com,,,ignore,1,1,script
ahrefs.com,,,reject,1,1,script
aktualne.cz,,,accept,1,1,image
aktualne.cz,,,ignore,1,1,image
aktualne.cz,,,reject,1,1,image
antiadblock.cz,,,accept,1,1,xhr
blob:https://challenges.cloudflare.com/00ffee2c-7626-4660-bbce-f64150cb5932,,,ignore,1,1,script
blob:https://challenges.cloudflare.com/0bb50a54-d0de-44ff-bbb3-1e890b69c6be,,,reject,1,1,script
blob:https://challenges.cloudflare.com/0d4f1f2f-7052-4998-9929-831cd3f19594,,,reject,1,1,script
blob:https://challenges.cloudflare.com/156e4c2c-93f2-4762-9b5e-2f08324cdc31,,,reject,1,1,script
blob:https://challenges.cloudflare.com/15b9640d-2a2a-4c70-b9ab-2041228e489e,,,accept,1,1,script
blob:https://challenges.cloudflare.com/179b8f4e-00db-4a0a-b3f5-f75e1224a445,,,accept,1,1,script
blob:https://challenges.cloudflare.com/18af7d45-dff7-41f6-a41c-260eb0fc4b6d,,,accept,1,1,script
blob:https://challenges.cloudflare.com/22ffb2a0-83cf-48f3-93e6-09d5be766260,,,accept,1,1,script
blob:https://challenges.cloudflare.com/27c3168c-c0d7-41ef-b0be-b44ba8885485,,,reject,1,1,script
blob:https://challenges.cloudflare.com/2aad2134-be29-4c25-be5b-40e2846a13d2,,,ignore,1,1,script
blob:https://challenges.cloudflare.com/2cd5e7e0-1811-40f3-8291-a19fa29ae1e8,,,ignore,1,1,script
blob:https://challenges.cloudflare.com/2d1d0109-2048-403b-8819-ef8806762bfb,,,accept,1,1,script
blob:https://challenges.cloudflare.com/31e6be52-6a2f-4b8c-b083-63e01c7d3816,,,ignore,1,1,script
blob:https://challenges.cloudflare.com/321b8b35-7d51-4aae-a3c5-ae6018fde7ac,,,ignore,1,1,script
blob:https://challenges.cloudflare.com/33b0a82b-5f35-412d-ba21-aaeea73c73d3,,,reject,1,1,script
blob:https://challenges.cloudflare.com/360eb549-e8c7-4791-adac-6c01a62cf954,,,ignore,1,1,script
blob:https://challenges.cloudflare.com/411eb29b-ab59-40b9-83f2-0f9cabe73a28,,,reject,1,1,script
blob:https://challenges.cloudflare.com/5718a691-6ad8-4ae8-a154-0b1935875afa,,,ignore,1,1,script
blob:https://challenges.cloudflare.com/6088445e-4c28-43bf-ada4-23e43e3f94fc,,,reject,1,1,script
blob:https://challenges.cloudflare.com/62071cde-8027-4f4a-b619-73e4e50aaa4b,,,reject,1,1,script
blob:https://challenges.cloudflare.com/65443160-dfc8-4beb-bf6d-3a29cec9fe60,,,accept,1,1,script
blob:https://challenges.cloudflare.com/6644680b-eee5-4e18-b5b0-4576efc5876d,,,ignore,1,1,script
blob:https://challenges.cloudflare.com/692b260c-d94f-4373-9dcc-b4242b0ec0e8,,,accept,1,1,script
blob:https://challenges.cloudflare.com/6d86e270-2473-4626-946b-f20729292ad7,,,ignore,1,1,script
blob:https://challenges.cloudflare.com/71e76086-e58e-4cb5-8ec0-655ab45d6381,,,ignore,1,1,script
blob:https://challenges.cloudflare.com/74e9eb57-d08f-4a12-a329-201abb1fb12c,,,reject,1,1,script
blob:https://challenges.cloudflare.com/91befad8-8ba4-4f59-94b9-e05d00817a85,,,accept,1,1,script
blob:https://challenges.cloudflare.com/92fd5b8b-1434-4741-9264-47dd9eec4f52,,,accept,1,1,script
blob:https://challenges.cloudflare.com/9536873f-69a0-4835-8272-f332178a1286,,,reject,1,1,script
blob:https://challenges.cloudflare.com/9fac193f-e993-4c3c-8fbc-d56030158192,,,ignore,1,1,script
blob:https://challenges.cloudflare.com/a239b3a6-79d2-4557-9b3b-edea7f201540,,,reject,1,1,script
blob:https://challenges.cloudflare.com/a9428244-e39d-4f46-a73d-5e6b0291c144,,,reject,1,1,script
blob:https://challenges.cloudflare.com/b335db38-d6b1-4416-9d57-174cc81c5423,,,accept,1,1,script
blob:https://challenges.cloudflare.com/befe5c74-a534-4c3d-9309-d80d79c97813,,,ignore,1,1,script
blob:https://challenges.cloudflare.com/c5a40b76-f437-4408-8b65-79d6164333c7,,,reject,1,1,script
blob:https://challenges.cloudflare.com/c7219d62-a0e5-43d4-8e2c-2d8e7139d9e7,,,accept,1,1,script
blob:https://challenges.cloudflare.com/d01a839e-71dc-4ce6-a58e-c330d5bceee4,,,accept,1,1,script
blob:https://challenges.cloudflare.com/d14a32ce-0509-4151-ada4-3540a4c39461,,,accept,1,1,script
blob:https://challenges.cloudflare.com/d1e525ec-f7a5-4a65-b59b-98d7b3c14fda,,,ignore,1,1,script
blob:https://challenges.cloudflare.com/d551631c-9626-41fa-97ef-11f50e677ccb,,,accept,1,1,script
blob:https://challenges.cloudflare.com/d68b7390-3520-42bc-a39c-c6828a4e253f,,,reject,1,1,script
blob:https://challenges.cloudflare.com/dc274d2b-ce44-4436-9603-b7938dd0ee81,,,reject,1,1,script
blob:https://challenges.cloudflare.com/df175864-4845-40e0-9ba6-63dbe4622c40,,,accept,1,1,script
blob:https://challenges.cloudflare.com/e4062229-e05d-4b62-a6a8-cc812254040b,,,ignore,1,1,script
blob:https://challenges.cloudflare.com/e5c9b812-4db7-4a86-bfbe-25d80a1e8f43,,,accept,1,1,script
blob:https://challenges.cloudflare.com/e6b5adad-cbc6-44e3-9bd6-791c217e41f4,,,accept,1,1,script
blob:https://challenges.cloudflare.com/e7df7e4d-2d57-4a4d-bc96-4515a029ddce,,,ignore,1,1,script
blob:https://challenges.cloudflare.com/edc67932-1766-414b-b491-29b370c75409,,,reject,1,1,script
blob:https://challenges.cloudflare.com/ef6221d8-38dd-4bf0-8602-5d28707e9039,,,accept,1,1,script
blob:https://challenges.cloudflare.com/f0c3aef5-4078-4e4a-aff1-a12668dfde94,,,ignore,1,1,script
blob:https://challenges.cloudflare.com/f943e2c9-310f-4ed5-b437-74eced23c12e,,,ignore,1,1,script
blob:https://challenges.cloudflare.com/fa1c8342-2a31-45d0-9c6b-edd1551353b0,,,reject,1,1,script
blob:https://challenges.cloudflare.com/fb34dd41-f876-4242-9314-12ddb13b4e96,,,ignore,1,1,script
blob:https://challenges.cloudflare.com/ff0bad28-2422-4bd0-99de-c676683905a1,,,reject,1,1,script
blob:https://czc.cz/25c46548-5402-4e68-b7fe-1c9e742c2f80,,,reject,1,1,script
blob:https://czc.cz/9765b3b9-b149-4ad0-8562-37e486da0197,,,reject,1,1,script
blob:https://czc.cz/f0b5f484-47fe-4cf1-986b-41408b3adf89,,,accept,1,1,script
blob:https://czc.cz/f17ff8a1-f08a-4ac7-a969-4ec6b44b750a,,,accept,1,1,script
blob:https://czc.cz/f2f6d1ea-b954-4b25-8540-e1a832f4ce83,,,ignore,1,1,script
blob:https://www.aktualne.cz/009fe74a-2b2b-4c11-a916-c9ea79343795,,,reject,1,1,document
blob:https://www.aktualne.cz/01fae8e5-7b45-4b60-a872-9d7e0fc00364,,,accept,1,1,document
blob:https://www.aktualne.cz/06714d08-3824-450e-8227-c18b4d7d9366,,,reject,1,1,document
blob:https://www.aktualne.cz/088b5e06-f74f-45af-9b20-84fdbbefc04a,,,reject,1,1,font
blob:https://www.aktualne.cz/098ab1b8-e041-46db-b42c-4038acf4ae87,,,accept,1,1,font
blob:https://www.aktualne.cz/166bd382-15e4-4fee-9a8e-ba3c85dcacce,,,accept,1,1,document
blob:https://www.aktualne.cz/1a0cb039-da38-4529-86c9-1e82f02248fb,,,reject,1,1,document
blob:https://www.aktualne.cz/1cba9895-5229-4213-afce-335d2b1723c5,,,accept,1,1,document
blob:https://www.aktualne.cz/1cc79eec-d7e0-49a6-9fcd-093adce598f0,,,reject,1,1,document
blob:https://www.aktualne.cz/1d3f2f0c-032c-495b-ab36-bad490410d16,,,accept,1,1,font
blob:https://www.aktualne.cz/2257758d-c8d1-4dac-a06f-ca316c640a42,,,accept,1,1,font
blob:https://www.aktualne.cz/23466249-24fe-4e90-88d5-212c107dbb19,,,reject,1,1,font
blob:https://www.aktualne.cz/23488ab0-3e1a-4d8a-a40a-4e9a2123075e,,,ignore,1,1,document
blob:https://www.aktualne.cz/24412a8e-0fe9-4889-8c33-f606486d444b,,,reject,1,1,document
blob:https://www.aktualne.cz/24abd14b-262c-43bb-b351-4cd0cfa5aa54,,,reject,1,1,font
blob:https://www.aktualne.cz/27017c13-a1c8-4e93-8efd-cb7fa6ecabc3,,,reject,1,1,font
blob:https://www.aktualne.cz/27a91783-47e9-403b-b0a8-96b1df0bc7bd,,,ignore,1,1,document
blob:https://www.aktualne.cz/28845857-7d37-4c4d-8366-34c28a56b857,,,ignore,1,1,font
blob:https://www.aktualne.cz/2a16eb01-7909-4524-b00f-502cfb692247,,,reject,1,1,font
blob:https://www.aktualne.cz/307e7a0c-8500-421c-9b40-755a200df5f1,,,reject,1,1,document
blob:https://www.aktualne.cz/3208edbd-1da3-404e-8143-62a4b14e17d6,,,accept,1,1,font
blob:https://www.aktualne.cz/32a9502f-1f69-4a29-84d9-b7e70737b8a2,,,reject,1,1,font
blob:https://www.aktualne.cz/376af14b-1b4d-4318-9edc-597dd3928887,,,reject,1,1,font
blob:https://www.aktualne.cz/4858b679-99c7-42f4-903b-be4e752067de,,,ignore,1,1,font
blob:https://www.aktualne.cz/54c8960d-ef97-4387-9ea1-d2d893d3c1f8,,,reject,1,1,document
blob:https://www.aktualne.cz/5b4636d8-9515-4e28-9196-19873859eefe,,,accept,1,1,document
blob:https://www.aktualne.cz/611ee5d2-f08d-4342-acd4-a7e661bafa30,,,accept,1,1,font
blob:https://www.aktualne.cz/6521080e-ece3-40a3-a824-e910ddbb2025,,,accept,1,1,font
blob:https://www.aktualne.cz/68dff690-b085-48db-99ec-da5eafe051ae,,,reject,1,1,document
blob:https://www.aktualne.cz/68f2789b-a180-410f-ba5f-4470365e0fa1,,,reject,1,1,font
blob:https://www.aktualne.cz/6f5280ef-187d-4bc1-99ab-3f96866aee54,,,accept,1,1,document
blob:https://www.aktualne.cz/700590b9-9899-41ae-bccb-8bbe5490de47,,,ignore,1,1,document
blob:https://www.aktualne.cz/7092c9b0-fd96-41e8-aa47-1847488d8950,,,reject,1,1,font
blob:https://www.aktualne.cz/73cedec8-9667-439d-aa4d-b6feaf20b338,,,accept,1,1,font
blob:https://www.aktualne.cz/73d65d05-9b9c-48b2-b83a-54b6495378bf,,,reject,1,1,font
blob:https://www.aktualne.cz/7a650399-be15-4319-b2d8-243f5a53c416,,,reject,1,1,font
blob:https://www.aktualne.cz/7ca58678-786d-49dc-9fa1-2a2abbc1786a,,,reject,1,1,font
blob:https://www.aktualne.cz/8244305f-1227-427f-a4b5-3f91c4131a30,,,ignore,1,1,font
blob:https://www.aktualne.cz/8327d4e7-3b67-457b-a065-321d3e859338,,,accept,1,1,document
blob:https://www.aktualne.cz/87e3e005-63a8-4249-a6cc-07272a7c76c0,,,accept,1,1,font
blob:https://www.aktualne.cz/8c4ca697-dd8c-4b31-921c-c1b45a4877b1,,,accept,1,1,font
blob:https://www.aktualne.cz/8cf9a523-5aa2-4073-b50e-5b1c71d8e58c,,,reject,1,1,font
blob:https://www.aktualne.cz/8deb96f6-a458-467e-a175-39134ba48be3,,,accept,1,1,font
blob:https://www.aktualne.cz/8ec6665b-680f-43bf-b8df-5ef0f534b3eb,,,ignore,1,1,font
blob:https://www.aktualne.cz/9097fb81-ba79-4b4a-b094-5fdf281db8b7,,,ignore,1,1,document
blob:https://www.aktualne.cz/95b4168e-603f-44b7-8b8a-11ae7c18b3f5,,,accept,1,1,font
blob:https://www.aktualne.cz/95c4b056-2173-4bd5-acba-4c3cd649954e,,,reject,1,1,font
blob:https://www.aktualne.cz/98aac397-87f5-44d7-8e05-8ccaf20279ca,,,accept,1,1,font
blob:https://www.aktualne.cz/996698a3-db22-480a-896a-8ba2222e8cb5,,,reject,1,1,font
blob:https://www.aktualne.cz/9e9f5f7f-717c-4be8-827d-d276dd6f036c,,,accept,1,1,font
blob:https://www.aktualne.cz/9f364694-28af-4511-ada6-de6f7414844a,,,accept,1,1,document
blob:https://www.aktualne.cz/9f4437a2-555e-40a3-819d-88a803af2cbe,,,reject,1,1,font
blob:https://www.aktualne.cz/a045a508-f45f-459a-8c74-2e00e40a66c4,,,accept,1,1,font
blob:https://www.aktualne.cz/a1dc9b9d-fa66-4d12-9120-a451227940a6,,,reject,1,1,font
blob:https://www.aktualne.cz/a321cf07-88ab-4bdb-a6bf-143c08fce0dd,,,accept,1,1,document
blob:https://www.aktualne.cz/a7c87b54-bd01-44ed-b8f3-fbcd2282e217,,,reject,1,1,font
blob:https://www.aktualne.cz/aa91c81d-ead6-4600-b827-1d86d9867571,,,reject,1,1,font
blob:https://www.aktualne.cz/ab0db1e4-8eaa-4b2d-a23d-902fff742078,,,reject,1,1,document
blob:https://www.aktualne.cz/ab38c012-8653-4906-80a2-de03619be94b,,,reject,1,1,font
blob:https://www.aktualne.cz/aef87064-4367-4d2b-9b11-f171272a8561,,,ignore,1,1,font
blob:https://www.aktualne.cz/b26a4810-2093-4423-a0a5-f34dad7c3dd3,,,reject,1,1,font
blob:https://www.aktualne.cz/b557d98b-9237-4b5d-8776-2c11a34c113f,,,reject,1,1,font
blob:https://www.aktualne.cz/bb5c07a6-0918-4022-a30e-ad3c2ac1bfd1,,,reject,1,1,document
blob:https://www.aktualne.cz/bc0384d7-7f9c-4959-acd7-dbcec163b6d8,,,ignore,1,1,font
blob:https://www.aktualne.cz/bef518cb-9f5d-43e7-ab1b-b6c2c3b2f311,,,accept,1,1,document
blob:https://www.aktualne.cz/bfdc3882-3ff5-46a4-bc7d-92994d57cb22,,,accept,1,1,font
blob:https://www.aktualne.cz/c812606c-7eb7-438b-b837-33f425b811a2,,,accept,1,1,font
blob:https://www.aktualne.cz/ce00292c-4d92-4c57-b882-fb32dba20d69,,,reject,1,1,font
blob:https://www.aktualne.cz/ce619734-99c1-4d7d-849b-0e1574e54716,,,reject,1,1,font
blob:https://www.aktualne.cz/cfcb880f-c262-4eea-86b7-fa74824baa11,,,reject,1,1,document
blob:https://www.aktualne.cz/de1bfd3c-35ad-4751-a590-d6179a624920,,,accept,1,1,document
blob:https://www.aktualne.cz/dfe1f78d-afe6-4f5e-9173-6c0d3cb70d61,,,accept,1,1,document
blob:https://www.aktualne.cz/e2ae3e1e-2109-4924-8595-3b8c108498f5,,,accept,1,1,font
blob:https://www.aktualne.cz/ea98af74-42a9-4f9d-8266-c6e4dfec8cbb,,,reject,1,1,font
blob:https://www.aktualne.cz/ee9336e4-5ee7-4e15-a43d-793bb589c5da,,,ignore,1,1,font
blob:https://www.aktualne.cz/efd997cc-bf3f-4949-8b5b-6729d4d4c45b,,,accept,1,1,document
blob:https://www.aktualne.cz/f633abe9-fc09-4988-bca3-7b077834edd0,,,reject,1,1,font
blob:https://www.aktualne.cz/f79505ca-2d4f-47c5-84a5-e20f104a7010,,,reject,1,1,font
blob:https://www.aktualne.cz/ffe40fd0-c7cb-46bd-ba45-2b11cb6a2485,,,reject,1,1,document
blob:https://www.alza.cz/0fa8b386-b2cb-47ca-8099-1b302aeb0f5b,,,reject,1,1,script
blob:https://www.alza.cz/1de470cf-01e7-43cb-9c21-3c77bd684ed1,,,accept,1,1,script
blob:https://www.alza.cz/6f2471cd-c2a6-437d-9ed7-4a7d901bebc6,,,reject,1,1,script
blob:https://www.alza.cz/74a5ce0b-ddf9-4dc9-983b-8d19fef1a190,,,ignore,1,1,script
blob:https://www.alza.cz/7eabb736-c743-4182-a133-6e0d56b18e28,,,reject,1,1,script
blob:https://www.alza.cz/82a76d5a-acd7-41f9-8646-932473e6fcb9,,,ignore,1,1,script
blob:https://www.alza.cz/929658a2-488a-4d99-87c8-fed00fab393d,,,ignore,1,1,script
blob:https://www.alza.cz/9e3e9354-2301-4805-b9a9-c1f84e001091,,,accept,1,1,script
blob:https://www.alza.cz/a87631c5-a54d-4efd-92ca-82a7c65a4f2d,,,accept,1,1,script
blob:https://www.alza.cz/ab5b5b89-8c13-44dc-89ed-5093c0709c14,,,reject,1,1,script
blob:https://www.alza.cz/be994a71-a043-4c51-9896-410b553e36cc,,,accept,1,1,script
blob:https://www.alza.cz/cd833a90-202f-4751-93d1-0fe6b06e58f1,,,ignore,1,1,script
blob:https://www.centrum.cz/20b6438a-f949-43c8-b4ba-aefc666f5b80,,,ignore,1,1,font
blob:https://www.centrum.cz/22446f01-e3ae-437f-9143-53b04c1189f6,,,accept,1,1,font
blob:https://www.centrum.cz/251d8f8c-aa4e-4d05-bbdd-f2c0e3c86d5f,,,accept,1,1,font
blob:https://www.centrum.cz/4702483b-ce23-46dd-acc0-4732b4c3b3c8,,,accept,1,1,font
blob:https://www.centrum.cz/5e31e429-f245-4d12-a996-614e0cd08a9d,,,accept,1,1,font
blob:https://www.centrum.cz/62e687ce-199e-4113-a36f-b88568dce6f3,,,ignore,1,1,font
blob:https://www.centrum.cz/8e5059f7-0da4-4e06-bd28-dadb59267590,,,ignore,1,1,font
blob:https://www.centrum.cz/9d2397e9-d2f1-45ab-aedd-c4673b898d4d,,,ignore,1,1,font
blob:https://www.centrum.cz/a6a2f5ab-5c9d-49cb-ad90-972fef8951b5,,,accept,1,1,font
blob:https://www.centrum.cz/c2d4cd96-72e1-463e-88d7-8465cfa84670,,,accept,1,1,font
blob:https://www.ceska-posta.cz/11f32562-129f-454b-af57-cb674d232624,,,accept,1,1,script
blob:https://www.ceska-posta.cz/2babae7d-7deb-4ce6-8f86-0f7bdc920247,,,ignore,1,1,script
blob:https://www.ceska-posta.cz/88d29fea-7dcf-4f58-83ac-3b92db043cc8,,,reject,1,1,script
blob:https://www.csas.cz/a72e491c-0769-42b9-acf3-f39e4c769085,,,accept,1,1,script
blob:https://www.csas.cz/ea589c4e-0aba-4eca-a4b9-5874c62c9022,,,accept,1,1,script
blob:https://www.drmax.cz/0fa95f8c-ccfc-4582-af05-cb500ec01f21,,,reject,1,1,script
