third_party_domain,tracker_entity,tracker_category,consent_mode,requests,sites_present,resource_types
cloudflare.com,Cloudflare,cdn,accept,71,7,"script,document,image,xhr,fetch,stylesheet"
cloudflare.com,Cloudflare,cdn,ignore,68,7,"script,document,image,xhr,fetch,stylesheet"
ytimg.com,Google,cdn,reject,38,7,image
ytimg.com,Google,cdn,accept,36,7,image
ytimg.com,Google,cdn,ignore,34,7,image
wp.pl,,,accept,11,7,fetch
wp.pl,,,ignore,11,7,fetch
2mdn.net,,,accept,8,7,"image,script"
2mdn.net,,,ignore,8,7,"image,script"
tiktok.com,TikTok,social,accept,134,6,"script,ping"
adnxs.com,Xandr,advertising,ignore,82,6,"xhr,fetch,document,script,image"
getsitecontrol.com,,,reject,26,6,"script,xhr"
getsitecontrol.com,,,accept,25,6,"script,xhr"
getsitecontrol.com,,,ignore,25,6,"script,xhr"
wp.pl,,,reject,15,6,fetch
iinfo.cz,,,reject,264,5,image
iinfo.cz,,,accept,263,5,image
iinfo.cz,,,ignore,260,5,image
adnxs.com,Xandr,advertising,reject,94,5,"xhr,fetch,document,script,image"
bing.com,Microsoft,advertising,accept,27,5,"script,ping,image"
mrf.io,,,accept,27,5,"script,fetch,xhr"
mrf.io,,,reject,27,5,"script,fetch,xhr"
mrf.io,,,ignore,23,5,"script,fetch,xhr"
criteo.net,Criteo,advertising,accept,15,5,"xhr,image,script"
id5-sync.com,,,accept,15,5,"fetch,script,xhr,image"
bing.net,,,accept,13,5,"ping,image,script"
slunecnice.cz,,,accept,8,5,document
twitter.com,Twitter/X,social,accept,8,5,"image,script,document,fetch"
slunecnice.cz,,,ignore,7,5,document
hotjar.com,Hotjar,analytics,accept,6,5,script
slunecnice.cz,,,reject,6,5,document
2mdn.net,,,reject,5,5,"image,script"
1gr.cz,,,accept,579,4,"image,font,stylesheet,script,xhr,document"
1gr.cz,,,ignore,579,4,"image,font,stylesheet,script,xhr,document"
1gr.cz,,,reject,579,4,"image,font,stylesheet,script,xhr,document"
cdn77.org,,,ignore,334,4,"stylesheet,image,script,font"
cdn77.org,,,reject,334,4,"image,script,stylesheet,font"
cdn77.org,,,accept,329,4,"stylesheet,image,script,font"
cncenter.cz,,,accept,111,4,"stylesheet,script,fetch,document,xhr,image,font"
cncenter.cz,,,reject,111,4,"stylesheet,script,document,fetch,xhr,image,font"
cncenter.cz,,,ignore,110,4,"stylesheet,script,document,fetch,xhr,image,font"
smartadserver.com,,,ignore,71,4,"xhr,fetch"
smartadserver.com,,,reject,71,4,"xhr,fetch"
smartadserver.com,,,accept,65,4,"xhr,fetch"
a-mo.net,,,ignore,46,4,"xhr,image,document,fetch"
caroda.io,,,accept,45,4,"script,fetch,image,ping"
onetag-sys.com,,,ignore,45,4,"xhr,document"
onetag-sys.com,,,reject,45,4,"xhr,document"
cookiebot.com,,,accept,42,4,"script,xhr,document,image"
cookiebot.com,,,reject,41,4,"script,xhr,document,image"
caroda.io,,,ignore,39,4,"script,fetch,image,ping"
a-mo.net,,,accept,37,4,"xhr,image,document,fetch"
newsroom.bi,,,accept,36,4,fetch
cxense.com,,,accept,32,4,"script,document,image"
cookiebot.com,,,ignore,31,4,"script,xhr,document,image"
cxense.com,,,reject,31,4,"script,document,image"
licdn.com,LinkedIn,cdn,accept,31,4,"script,stylesheet,image,fetch"
newsroom.bi,,,ignore,31,4,fetch
newsroom.bi,,,reject,30,4,fetch
caroda.io,,,reject,29,4,"script,fetch,image,ping"
us.org,,,ignore,24,4,xhr
us.org,,,accept,21,4,xhr
us.org,,,reject,21,4,xhr
adtrafficquality.google,,,reject,19,4,"script,document,image,xhr"
ggpht.com,Google,cdn,reject,16,4,image
criteo.net,Criteo,advertising,ignore,14,4,"xhr,image,script"
criteo.net,Criteo,advertising,reject,14,4,"xhr,image,script"
bing.net,,,reject,13,4,"ping,image,script"
ggpht.com,Google,cdn,accept,13,4,image
ggpht.com,Google,cdn,ignore,13,4,image
bing.net,,,ignore,12,4,"ping,image,script"
aimatch.com,,,accept,10,4,image
chartbeat.net,,,reject,10,4,image
chartbeat.net,,,accept,9,4,image
chartbeat.net,,,ignore,7,4,image
eu-1-id5-sync.com,,,accept,7,4,fetch
3lift.com,,,accept,5,4,fetch
ads-twitter.com,,,accept,5,4,script
t.co,Twitter/X,social,accept,5,4,image
tiktokw.us,,,accept,4,4,ping
cloudfront.net,Amazon,cdn,reject,472,3,"script,image,stylesheet,other,font,fetch"
cloudfront.net,Amazon,cdn,accept,455,3,"script,stylesheet,image,other,font,fetch"
cloudfront.net,Amazon,cdn,ignore,419,3,"script,image,stylesheet,other,font,fetch"
a-mo.net,,,reject,47,3,"xhr,image,document"
onetag-sys.com,,,accept,39,3,"xhr,document"
360yield-basic.com,,,ignore,35,3,xhr
adobedtm.com,,,accept,30,3,script
cxense.com,,,ignore,23,3,"script,document,image"
luigisbox.tech,,,reject,17,3,"script,xhr,fetch"
typekit.net,Adobe,cdn,accept,17,3,"font,stylesheet"
typekit.net,Adobe,cdn,ignore,17,3,"font,stylesheet"
typekit.net,Adobe,cdn,reject,17,3,"font,stylesheet"
adobedtm.com,,,reject,14,3,script
adtrafficquality.google,,,accept,14,3,"script,document,image,xhr"
adtrafficquality.google,,,ignore,14,3,"xhr,script,document,image"
chartbeat.com,,,ignore,13,3,"script,xhr"
adobedtm.com,,,ignore,12,3,script
chartbeat.com,,,accept,12,3,"script,xhr"
4dex.io,,,accept,11,3,xhr
4dex.io,,,ignore,11,3,xhr
4dex.io,,,reject,11,3,xhr
chartbeat.com,,,reject,11,3,"script,xhr"
aimatch.com,,,ignore,9,3,image
unpkg.com,,,accept,9,3,"script,stylesheet"
unpkg.com,,,ignore,9,3,"script,stylesheet"
unpkg.com,,,reject,9,3,"script,stylesheet"
aimatch.com,,,reject,8,3,image
onetrust.com,,,accept,7,3,xhr
onetrust.com,,,reject,7,3,xhr
idnes.cz,,,accept,6,3,"xhr,script"
idnes.cz,,,ignore,6,3,"xhr,script"
mookie1.com,,,accept,6,3,"image,script"
idnes.cz,,,reject,5,3,"xhr,script"
ltba.io,,,ignore,5,3,script
mookie1.com,,,ignore,5,3,"image,script"
mookie1.com,,,reject,5,3,"image,script"
onetrust.com,,,ignore,5,3,xhr
3lift.com,,,ignore,4,3,fetch
googleadservices.com,Google,advertising,accept,4,3,"fetch,script"
ltba.io,,,accept,4,3,script
ltba.io,,,reject,4,3,script
vshcdn.net,,,accept,494,2,"image,stylesheet,script,fetch"
vshcdn.net,,,reject,494,2,"image,stylesheet,script,fetch"
vshcdn.net,,,ignore,492,2,"image,stylesheet,script,fetch"
youtube.com,Google,social,reject,87,2,"document,stylesheet,script,xhr,image"
amazonaws.com,Amazon,cdn,accept,86,2,"image,xhr"
amazonaws.com,Amazon,cdn,ignore,86,2,"image,xhr"
amazonaws.com,Amazon,cdn,reject,86,2,"image,xhr"
youtube.com,Google,social,accept,79,2,"document,stylesheet,script,image,xhr"
youtube.com,Google,social,ignore,79,2,"document,stylesheet,script,image,xhr"
youtube-nocookie.com,,,accept,54,2,"document,stylesheet,script,image,xhr"
youtube-nocookie.com,,,reject,51,2,"document,stylesheet,script,image,xhr"
youtube-nocookie.com,,,ignore,47,2,"document,stylesheet,script,image,xhr"
tiktok.com,TikTok,social,reject,38,2,"script,ping"
tiktok.com,TikTok,social,ignore,37,2,"script,ping"
luigisbox.com,,,reject,35,2,"ping,script"
360yield-basic.com,,,accept,33,2,xhr
360yield-basic.com,,,reject,33,2,xhr
usercentrics.eu,,,accept,33,2,"script,fetch,image"
cookielaw.org,,,accept,31,2,"script,xhr,fetch,image"
cookielaw.org,,,reject,31,2,"script,xhr,fetch,image"
cookielaw.org,,,ignore,29,2,"script,xhr,fetch,image"
usercentrics.eu,,,ignore,29,2,"script,fetch,image"
usercentrics.eu,,,reject,29,2,"script,fetch,image"
licdn.com,LinkedIn,cdn,reject,28,2,"script,stylesheet,image,fetch"
licdn.com,LinkedIn,cdn,ignore,26,2,"script,stylesheet,image,fetch"
sznplayer.cz,,,accept,24,2,xhr
sznplayer.cz,,,ignore,24,2,xhr
sznplayer.cz,,,reject,22,2,xhr
luigisbox.tech,,,ignore,14,2,"script,xhr"
luigisbox.tech,,,accept,13,2,"script,xhr"
im.cz,Seznam.cz,advertising,ignore,10,2,"document,script"
recaptcha.net,,,reject,10,2,"script,document"
stdout.cz,,,accept,10,2,"script,stylesheet,image"
stdout.cz,,,ignore,10,2,"script,stylesheet,image"
stdout.cz,,,reject,10,2,"script,stylesheet,image"
jhmt.cz,,,accept,9,2,"script,image"
linkedin.com,LinkedIn,social,accept,9,2,"xhr,image,fetch"
onesignal.com,,,accept,9,2,script
onesignal.com,,,ignore,9,2,script
onesignal.com,,,reject,9,2,script
persoo.cz,,,reject,9,2,script
richaudience.com,,,reject,9,2,"xhr,document"
windows.net,,,accept,9,2,image
windows.net,,,ignore,9,2,image
windows.net,,,reject,9,2,image
azure.com,,,accept,8,2,"script,xhr,fetch"
bing.com,Microsoft,advertising,ignore,8,2,script
bing.com,Microsoft,advertising,reject,8,2,script
im.cz,Seznam.cz,advertising,accept,8,2,"document,script"
matomo.cloud,,,accept,8,2,"script,ping"
daktela.com,,,accept,7,2,"script,xhr"
daktela.com,,,ignore,7,2,"script,xhr"
daktela.com,,,reject,7,2,"script,xhr"
googleusercontent.com,Google,cdn,accept,7,2,"fetch,image"
googleusercontent.com,Google,cdn,ignore,7,2,"fetch,image"
googleusercontent.com,Google,cdn,reject,7,2,"fetch,image"
recaptcha.net,,,accept,7,2,"script,document"
360yield.com,,,ignore,6,2,"document,xhr"
recaptcha.net,,,ignore,6,2,"script,document"
