url,domain,category,rank_slovak
https://www.google.com,google.com,search,1
https://www.youtube.com,youtube.com,entertainment,2
https://www.facebook.com,facebook.com,social,3
https://www.instagram.com,instagram.com,social,4
https://www.twitter.com,twitter.com,social,5
https://www.wikipedia.org,wikipedia.org,reference,6
https://www.tiktok.com,tiktok.com,social,7
https://www.netflix.com,netflix.com,entertainment,8
https://www.chatgpt.com,chatgpt.com,tech,9
https://www.google.sk,google.sk,search,10
https://www.zoznam.sk,zoznam.sk,search,11
https://www.azet.sk,azet.sk,search,12
https://www.sme.sk,sme.sk,news,13
https://www.aktuality.sk,aktuality.sk,news,14
https://www.pravda.sk,pravda.sk,news,15
https://www.dennikn.sk,dennikn.sk,news,16
https://www.hnonline.sk,hnonline.sk,news,17
https://www.ta3.com,ta3.com,news,18
https://www.tvnoviny.sk,tvnoviny.sk,news,19
https://www.cas.sk,cas.sk,news,20
https://www.pluska.sk,pluska.sk,news,21
https://www.topky.sk,topky.sk,news,22
https://www.teraz.sk,teraz.sk,news,23
https://www.spravy.rtvs.sk,spravy.rtvs.sk,news,24
https://www.startitup.sk,startitup.sk,news,25
https://www.trend.sk,trend.sk,news,26
https://www.postoj.sk,postoj.sk,news,27
https://www.webnoviny.sk,webnoviny.sk,news,28
https://www.markiza.sk,markiza.sk,news,29
https://www.joj.sk,joj.sk,news,30
https://www.zive.sk,zive.sk,tech,31
https://www.fony.sk,fony.sk,tech,32
https://www.sector.sk,sector.sk,tech,33
https://www.mojandroid.sk,mojandroid.sk,tech,34
https://www.dsl.sk,dsl.sk,tech,35
https://www.touchit.sk,touchit.sk,tech,36
https://www.techbox.sk,techbox.sk,tech,37
https://www.alza.sk,alza.sk,ecommerce,38
https://www.mall.sk,mall.sk,ecommerce,39
https://www.heureka.sk,heureka.sk,ecommerce,40
https://www.datart.sk,datart.sk,ecommerce,41
https://www.nay.sk,nay.sk,ecommerce,42
https://www.okay.sk,okay.sk,ecommerce,43
https://www.martinus.sk,martinus.sk,ecommerce,44
https://www.notino.sk,notino.sk,ecommerce,45
https://www.dedoles.sk,dedoles.sk,ecommerce,46
https://www.lidl.sk,lidl.sk,ecommerce,47
https://www.kaufland.sk,kaufland.sk,ecommerce,48
https://www.tesco.sk,tesco.sk,ecommerce,49
https://www.billa.sk,billa.sk,ecommerce,50
https://www.dm-drogeriemarkt.sk,dm-drogeriemarkt.sk,ecommerce,51
https://www.decathlon.sk,decathlon.sk,ecommerce,52
https://www.sportisimo.sk,sportisimo.sk,ecommerce,53
https://www.gov.sk,gov.sk,government,54
https://www.slovensko.sk,slovensko.sk,government,55
https://www.minv.sk,minv.sk,government,56
https://www.mfsr.sk,mfsr.sk,government,57
https://www.employment.gov.sk,employment.gov.sk,government,58
https://www.health.gov.sk,health.gov.sk,government,59
https://www.minedu.sk,minedu.sk,government,60
https://www.bratislava.sk,bratislava.sk,government,61
https://www.kosice.sk,kosice.sk,government,62
https://www.slsp.sk,slsp.sk,finance,63
https://www.vub.sk,vub.sk,finance,64
https://www.tatrabanka.sk,tatrabanka.sk,finance,65
https://www.csob.sk,csob.sk,finance,66
https://www.unicreditbank.sk,unicreditbank.sk,finance,67
https://www.365bank.sk,365bank.sk,finance,68
https://www.finstat.sk,finstat.sk,finance,69
https://www.peniaze.sk,peniaze.sk,finance,70
https://www.uniba.sk,uniba.sk,education,71
https://www.stuba.sk,stuba.sk,education,72
https://www.tuke.sk,tuke.sk,education,73
https://www.upjs.sk,upjs.sk,education,74
https://www.ukf.sk,ukf.sk,education,75
https://www.ucm.sk,ucm.sk,education,76
https://www.uniag.sk,uniag.sk,education,77
https://www.euba.sk,euba.sk,education,78
https://www.csfd.sk,csfd.sk,entertainment,79
https://www.topfilmy.sk,topfilmy.sk,entertainment,80
https://www.rtvs.sk,rtvs.sk,entertainment,81
https://www.bazos.sk,bazos.sk,classifieds,82
https://www.nehnutelnosti.sk,nehnutelnosti.sk,classifieds,83
https://www.reality.sk,reality.sk,classifieds,84
https://www.topreality.sk,topreality.sk,classifieds,85
https://www.profesia.sk,profesia.sk,jobs,86
https://www.kariera.sk,kariera.sk,jobs,87
https://www.praca.sk,praca.sk,jobs,88
https://www.pracuj.sk,pracuj.sk,jobs,89
https://www.e5.sk,e5.sk,other,90
https://www.websupport.sk,websupport.sk,other,91
https://www.tld.sk,tld.sk,other,92
https://www.yadi.sk,yadi.sk,other,93
https://www.flashscore.sk,flashscore.sk,other,94
https://www.cp.sk,cp.sk,other,95
https://www.webhouse.sk,webhouse.sk,other,96
https://www.recept-na-zivot.sk,recept-na-zivot.sk,other,97
https://www.z-library.sk,z-library.sk,other,98
https://www.allegro.sk,allegro.sk,other,99
https://www.shmu.sk,shmu.sk,other,100
https://www.nike.sk,nike.sk,other,101
https://www.imhd.sk,imhd.sk,other,102
https://www.amaterky.sk,amaterky.sk,other,103
https://www.orange.sk,orange.sk,other,104
https://www.antik.sk,antik.sk,other,105
